                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.1074,                0.68253,                    1.1,                0.95578,                0.91042,                0.97794,                0.63955,                 1.2251,                0.62892,                 1.1614,             0.00038178,             0.00038178,             0.00038178
                     49,                 1.0722,                0.65703,                  1.074,                0.94927,                0.92648,                0.97909,                0.64037,                  1.225,                0.63197,                   1.16,             0.00037471,             0.00037471,             0.00037471
                     50,                  1.067,                0.65429,                 1.0689,                  0.944,                0.91532,                0.96802,                0.64251,                 1.2487,                0.63891,                 1.1827,             0.00036764,             0.00036764,             0.00036764
                     51,                 1.0697,                0.65145,                 1.0752,                0.96049,                0.91211,                0.96574,                0.63873,                 1.2048,                0.62446,                 1.1762,             0.00036057,             0.00036057,             0.00036057
                     52,                 1.0665,                0.65726,                 1.0736,                0.93381,                0.90735,                0.96439,                 0.6277,                 1.2433,                0.64015,                 1.1864,              0.0003535,              0.0003535,              0.0003535
                     53,                 1.0699,                0.65439,                 1.0768,                0.94893,                0.91105,                0.96873,                0.63656,                 1.2143,                0.62668,                 1.1773,             0.00034643,             0.00034643,             0.00034643
                     54,                 1.0619,                0.65084,                  1.074,                0.94601,                0.91727,                0.96236,                0.63545,                 1.2092,                 0.6194,                 1.1618,             0.00033936,             0.00033936,             0.00033936
                     55,                 1.0525,                0.65139,                  1.067,                0.92852,                0.92382,                0.97274,                0.63722,                 1.2102,                0.62461,                 1.1414,              0.0003323,              0.0003323,              0.0003323
                     56,                 1.0579,                0.64162,                 1.0659,                0.94013,                0.93036,                0.97154,                 0.6297,                 1.2346,                0.61378,                 1.1484,             0.00032523,             0.00032523,             0.00032523
                     57,                 1.0505,                0.63577,                 1.0605,                0.95174,                 0.9292,                0.96113,                0.62714,                 1.2456,                0.62083,                  1.155,             0.00031816,             0.00031816,             0.00031816
                     58,                 1.0517,                0.64071,                 1.0658,                0.92125,                 0.9352,                0.95919,                0.63698,                 1.2322,                0.62408,                 1.1494,             0.00031109,             0.00031109,             0.00031109
                     59,                 1.0335,                0.62607,                 1.0471,                0.94853,                0.92394,                0.97517,                0.63711,                 1.2398,                0.61681,                 1.1635,             0.00030402,             0.00030402,             0.00030402
                     60,                 1.0423,                0.63444,                 1.0713,                0.92166,                0.93577,                0.96849,                0.64351,                 1.2331,                0.61665,                 1.1505,             0.00029695,             0.00029695,             0.00029695
                     61,                 1.0442,                0.62093,                 1.0442,                0.95773,                0.93374,                0.97354,                0.63436,                 1.2646,                0.61726,                  1.183,             0.00028988,             0.00028988,             0.00028988
                     62,                 1.0527,                0.62913,                 1.0643,                0.95066,                0.94199,                0.96795,                0.64623,                 1.2246,                0.59526,                 1.1678,             0.00028282,             0.00028282,             0.00028282
                     63,                 1.0333,                0.62671,                 1.0583,                0.92988,                0.94212,                0.97233,                0.64488,                 1.2541,                0.60958,                 1.1773,             0.00027575,             0.00027575,             0.00027575
                     64,                 1.0268,                0.61616,                 1.0541,                0.93795,                0.92451,                0.96381,                0.65059,                 1.1993,                0.59926,                 1.1514,             0.00026868,             0.00026868,             0.00026868
                     65,                 1.0348,                 0.6207,                 1.0646,                0.93416,                0.93212,                0.97375,                0.63627,                 1.2331,                0.62607,                 1.1642,             0.00026161,             0.00026161,             0.00026161
                     66,                 1.0318,                0.62137,                 1.0679,                0.93129,                0.92421,                0.97143,                0.64281,                 1.2168,                0.61824,                 1.1632,             0.00025454,             0.00025454,             0.00025454
                     67,                 1.0174,                0.61115,                 1.0412,                0.93996,                 0.9351,                0.97675,                0.63488,                 1.2272,                0.60737,                 1.1651,             0.00024747,             0.00024747,             0.00024747
                     68,                0.99899,                0.61289,                 1.0512,                0.94192,                0.93455,                0.97605,                0.64041,                 1.2255,                0.60408,                 1.1587,              0.0002404,              0.0002404,              0.0002404
                     69,                 1.0112,                0.60785,                 1.0442,                0.94468,                0.92924,                0.97574,                0.65335,                 1.2166,                0.60494,                 1.1551,             0.00023334,             0.00023334,             0.00023334
                     70,                  1.011,                0.60849,                 1.0489,                0.94898,                0.92092,                0.97554,                0.64465,                 1.2411,                0.61008,                 1.1637,             0.00022627,             0.00022627,             0.00022627
                     71,                 1.0204,                0.61174,                 1.0549,                0.94818,                0.93027,                0.96805,                0.63034,                 1.2548,                0.60253,                 1.1736,              0.0002192,              0.0002192,              0.0002192
                     72,                 1.0053,                0.59854,                 1.0322,                0.95085,                0.92516,                0.97315,                0.63111,                 1.2381,                0.59754,                 1.1739,             0.00021213,             0.00021213,             0.00021213
                     73,                 1.0026,                0.60067,                 1.0433,                0.95269,                0.89737,                0.97013,                0.63541,                 1.2542,                0.60588,                 1.1746,             0.00020506,             0.00020506,             0.00020506
                     74,                0.98842,                0.59592,                 1.0365,                0.95682,                0.89832,                0.96829,                 0.6302,                 1.2502,                0.59967,                 1.1841,             0.00019799,             0.00019799,             0.00019799
                     75,                  1.004,                0.60308,                 1.0538,                0.94613,                0.90978,                0.95914,                0.62799,                 1.2669,                0.59703,                 1.1749,             0.00019092,             0.00019092,             0.00019092
                     76,                0.99677,                0.59226,                 1.0353,                0.96408,                0.90097,                0.97009,                0.63653,                  1.254,                0.60043,                  1.181,             0.00018385,             0.00018385,             0.00018385
                     77,                0.98534,                0.59097,                 1.0416,                0.98548,                0.88986,                0.97078,                 0.6407,                  1.242,                0.59153,                 1.1796,             0.00017679,             0.00017679,             0.00017679
                     78,                0.99255,                0.59036,                 1.0505,                0.91825,                0.94517,                0.97213,                0.63551,                 1.2464,                0.58636,                 1.1749,             0.00016972,             0.00016972,             0.00016972
                     79,                0.98586,                0.58982,                 1.0432,                0.90766,                0.94254,                0.97163,                0.64595,                 1.2168,                0.58414,                 1.1604,             0.00016265,             0.00016265,             0.00016265
                     80,                0.97751,                0.59025,                 1.0313,                0.91461,                0.94153,                0.96471,                0.62006,                 1.2565,                 0.5897,                 1.1787,             0.00015558,             0.00015558,             0.00015558
                     81,                0.97671,                0.58831,                  1.043,                0.91929,                0.93969,                 0.9664,                0.64797,                 1.2102,                0.58403,                 1.1681,             0.00014851,             0.00014851,             0.00014851
                     82,                0.96569,                0.58499,                 1.0381,                 0.9439,                0.93587,                0.96342,                0.65381,                 1.2118,                0.57441,                  1.167,             0.00014144,             0.00014144,             0.00014144
